DepthAvereagedEveryMeter_mbsf_,BulkDensity,MagneticSusceptibility,NaturalGammaRay,K___,Th_ppm_,U_ppm_,Resistivity,Vp,Vs,Caliper_in_,ROP_m_hr_,Perc100Lithology,PrincLithology,PrincLithology_1m,FullLithology,Predicted,Cluster
53.5,2.61462166666667,1695.92325,10.3947273333333,0.0190712153333333,0.26555165,1.08696171666667,9.19889771428572,4.12738571428571,,11.1559766666667,,,,,,serpentinite,1
54.5,2.511233375,1167.80615384615,13.67638,0.0108806307142857,0.0941287452857143,1.52298428571429,12.0526533333333,3.72681666666667,,11.6507242857143,,,,,,serpentinite,0
55.5,,,,,,,,,,,,,,,,serpentinite,0
56.5,,,,,,,,,,,,,,,,serpentinite,0
57.5,,,,,,,,,,,,serpentinite,harzburgite,,,serpentinite,0
58.5,,,,,,,,,,,,serpentinite,harzburgite,harzburgite,harzburgite,serpentinite,0
59.5,,,,,,,,,,,,serpentinite,harzburgite,harzburgite,harzburgite,serpentinite,0
60.5,,,,,,,,,,,,serpentinite,harzburgite,harzburgite,harzburgite,serpentinite,0
61.5,,,,,,,,,,,,,,,,serpentinite,0
62.5,,,,,,,,,,,,serpentinite,harzburgite,,,serpentinite,0
63.5,,,,,,,,,,,,serpentinite,dunite,,,serpentinite,0
64.5,,,,,,,,,,,,serpentinite,harzburgite,harzburgite,harzburgite,serpentinite,0
65.5,,,,,,,,,,,,serpentinite,harzburgite,harzburgite,harzburgite,serpentinite,0
66.5,,,,,,,,,,,,,,,,serpentinite,0
67.5,,,,,,,,,,,,serpentinite,harzburgite,harzburgite,harzburgite,serpentinite,0
68.5,,,,,,,,,,,,,dunite,,,serpentinite,0
69.5,,,,,,,,,,,,,,,,serpentinite,0
70.5,,,,,,,,,,,,,,,,serpentinite,0
71.5,,,,,,,,,,,,,,,,serpentinite,0
72.5,,,,,,,,,,,,,dunite,,,serpentinite,0
73.5,,,,,,,,,,,,,,,,serpentinite,0
74.5,,,,,,,,,,,,,,,,serpentinite,0
75.5,,,,,,,,,,,,,,,,serpentinite,0
76.5,,,,,,,,,,,,,dunite,,,serpentinite,0
77.5,,,,,,,,,,,,,,,,serpentinite,0
78.5,,,,,,,,,,,,,,,,serpentinite,0
79.5,,,,,,,,,,,,,,,,serpentinite,0
80.5,,,,,,,,,,,,,,,,serpentinite,0
81.5,,,,,,,,,,,,serpentinite,,,,serpentinite,0
82.5,,,,,,,,,,,,,harzburgite,,,serpentinite,0
83.5,,,,,,,,,,,,,,,,serpentinite,0
84.5,,,,,,,,,,,,,,,,serpentinite,0
85.5,,,,,,,,,,,,,,,,serpentinite,0
86.5,,,,,,,,,,,,serpentinite,dunite,,,serpentinite,0
87.5,,,,,,,,,,,,,,,,serpentinite,0
88.5,,,,,,,,,,,,,,,,serpentinite,0
89.5,,,,,,,,,,,,,,,,serpentinite,0
90.5,,,,,,,,,,,,,,,,serpentinite,0
91.5,,,,,,,,,,,,serpentinite,harzburgite,harzburgite,harzburgite,serpentinite,0
92.5,,,,,,,,,,,,serpentinite,harzburgite,,,serpentinite,0
93.5,,,,,,,,,,,,serpentinite,dunite,,,serpentinite,0
94.5,,,,,,,,,,,,,,,,serpentinite,0
95.5,,,,,,,,,,,,,,,,serpentinite,0
96.5,,,,,,,,,,,,serpentinite,dunite,dunite,orthopyroxene-bearing dunite,serpentinite,0
97.5,,,,,,,,,,,,,dunite,,,serpentinite,0
98.5,,,,,,,,,,,,,gabbronorite,,,serpentinite,0
99.5,2.5467527948718,1920.35575,8.3801545,0.0299928831666667,,0.921241016666667,14.6477383333333,3.93778571428571,1.76416666666667,11.7735342857143,,,,,,serpentinite,0
100.5,2.53063205,1708.08256410256,7.24382128571429,0.0064641557142857,,0.886806314285714,12.0565458571429,4.08025,1.67857142857143,11.7978514285714,,,,,,serpentinite,0
101.5,2.52154907692308,1990.15897435897,7.5035105,,,1.00901638333333,8.55086985714286,3.74518571428571,1.68891666666667,11.918125,,,dunite,,,serpentinite,0
102.5,2.50170533333333,1990.1955,7.69231814285714,,,1.1057069,9.845617,3.91996666666667,1.73757142857143,11.6933842857143,5.9,,dunite,,,serpentinite,0
103.5,2.56345475,1764.00974358974,7.2705495,,0.0767096766666667,0.849634,9.52128442857143,4.1879,1.64575,11.0564966666667,,serpentinite,harzburgite,,,serpentinite,0
104.5,2.55758735897436,2104.55923076923,7.19766157142857,0.0323946742857143,0.0362716514285714,0.736517471428571,8.90033233333333,3.91235,1.71961428571429,11.0589285714286,,,,,,serpentinite,0
105.5,2.53793751282051,2020.891,6.98081728571429,0.0063968365714285,0.221250871428571,0.703117171428571,11.4160968571429,4.16872857142857,1.83658571428571,11.0456166666667,,,,,,serpentinite,0
106.5,2.5225668,1802.59871794872,7.18456833333333,,0.224241283333333,0.803260166666667,12.6665451666667,4.03323333333333,1.80101666666667,11.0769385714286,,,gabbronorite,,,serpentinite,0
107.5,2.50754194871795,2985.1205,6.74245771428571,0.0337565495714286,,0.702271585714286,9.85954657142857,3.71217142857143,1.78581428571429,11.09234,4.8,,dunite,dunite,orthopyroxene-bearing dunite,serpentinite,0
108.5,2.5975136,2483.09948717949,7.23171433333333,0.0069962433333333,,0.8279968,18.7778766666667,4.34035714285714,1.82591666666667,10.7903028571429,,serpentinite,dunite,dunite,orthopyroxene-bearing dunite,serpentinite,1
109.5,2.53785256410256,3031.09128205128,6.03671728571429,,0.0976329814285714,0.737535057142857,16.3141042857143,4.01903333333333,2.06434285714286,10.7406657142857,,serpentinite,dunite,dunite,orthopyroxene-bearing dunite,serpentinite,0
110.5,2.53851143589744,3079.6205,6.564412,0.0043289993333333,0.0848124165666667,0.711381,10.1087792857143,3.93298571428571,1.87043333333333,10.7481283333333,,serpentinite,dunite,,,serpentinite,0
